label,date,duration,bvid,url,title,core_hits,support_hits,background_hits
out,2025-12-27,06:43,BV1kCBaBoEm4,https://www.bilibili.com/video/BV1kCBaBoEm4/,为什么考公考编，不进企业不读(赌)博,,,
core,2025-12-26,06:57,BV1FKBXBCE84,https://www.bilibili.com/video/BV1FKBXBCE84/,仅想快速毕业，如何高效阅读论文,读论文,,论文
out,2025-12-23,21:36,BV1ztBMBSEM6,https://www.bilibili.com/video/BV1ztBMBSEM6/,网传浙大硕士跳水轻生，可以放弃手中一切，请别放弃生命！！！,,,
background,2025-12-22,49:41,BV1EJBsBcEAz,https://www.bilibili.com/video/BV1EJBsBcEAz/,读研唯一真理，身体比论文更重要！！！20251219,,,论文
out,2025-12-19,72:32,BV1tYqZBiEE3,https://www.bilibili.com/video/BV1tYqZBiEE3/,研究生考上了就读，考不上不读也就那样，读研谈不到逆天改命，20251215，,,,
support,2025-12-17,08:32,BV1Fuq5BPEye,https://www.bilibili.com/video/BV1Fuq5BPEye/,我必须发顶刊，你咋不当院士，给我点背景，当代研究生该硬硬,,顶刊,
out,2025-12-16,15:48,BV1HZqaBWEQM,https://www.bilibili.com/video/BV1HZqaBWEQM/,错的从不是考上研的你，你很努力了。希望能给予研究生力量，精神鼓舞，我们一起加油！,,,
out,2025-12-15,49:17,BV131qsBJESH,https://www.bilibili.com/video/BV131qsBJESH/,很多研究生，身在福中不知福，20251212,,,
out,2025-12-14,90:09,BV16LmzBaEUv,https://www.bilibili.com/video/BV16LmzBaEUv/,90分钟讲完了，听多少是你的事，纯干货无广，错过就错过了！,,,
out,2025-12-12,61:15,BV1D3mmBTE2m,https://www.bilibili.com/video/BV1D3mmBTE2m/,你导师无德无能，还能是专家教授，为什么呀，为什么呀？20251208,,,
background,2025-12-08,15:19,BV1K22yBXEUZ,https://www.bilibili.com/video/BV1K22yBXEUZ/,26岁，任浙江大学博导，学术圈欣欣向荣！！！,,,学术
out,2025-12-08,53:16,BV1PK2kBGEbh,https://www.bilibili.com/video/BV1PK2kBGEbh/,别看封面了，说的就是视频外的你！20251205,,,
out,2025-12-05,59:08,BV1BG27BcEot,https://www.bilibili.com/video/BV1BG27BcEot/,都难，都难，现在都难，但希望大家仍能积极乐观走下去，20251201,,,
background,2025-12-04,03:48,BV1nJ2vBJEvA,https://www.bilibili.com/video/BV1nJ2vBJEvA/,吸毒记录封存，人均违法，那人均学术不端还远不远？笑死我了，我身边真没那么多违法的,,,学术不端;学术
out,2025-12-02,07:55,BV1nMS4BiEfV,https://www.bilibili.com/video/BV1nMS4BiEfV/,吸毒记录可以封存，我第一学历双非就“该死”？可我专升本，第一学历不仅陪伴终身，还真被那些企业单位歧视呀，我要哭出来了。,,,
out,2025-12-01,55:26,BV1SwSyBYEQF,https://www.bilibili.com/video/BV1SwSyBYEQF/,不要相信导师画的任何饼，一定要为自己多做打算，20251128,,,
background,2025-11-28,49:22,BV1C8SEBEE7W,https://www.bilibili.com/video/BV1C8SEBEE7W/,好想邦邦两拳，这群靠学术不端，毕业的研究生，严厉抵制学术不端，严厉打击学术不端！20251124,,,学术不端;学术
out,2025-11-27,12:23,BV1xQSgBwEhC,https://www.bilibili.com/video/BV1xQSgBwEhC/,人生唯一准则，对自己好一点，尤其是男人们，女人其实也是如此,,,
out,2025-11-25,22:41,BV1snU9BEEZK,https://www.bilibili.com/video/BV1snU9BEEZK/,19届疫情开始入学23届顶峰考研26届巅峰考公，错的不是你们，每一代人有每一代人的宿命和历史使命,,,
out,2025-11-24,24:11,BV1QGUGBkEth,https://www.bilibili.com/video/BV1QGUGBkEth/,“书呆子，老实人”，此刻已经具体化，20251121,,,
background,2025-11-23,09:14,BV1NeUNBLEEF,https://www.bilibili.com/video/BV1NeUNBLEEF/,学术不端的风险有多小，高中学历也能成为首席科学家,,,学术不端;学术
out,2025-11-21,30:54,BV12UULBCEk1,https://www.bilibili.com/video/BV12UULBCEk1/,研究生，答案就在眼前，你视而不见？20251117,,,
out,2025-11-20,39:02,BV1uSyPBrEXw,https://www.bilibili.com/video/BV1uSyPBrEXw/,不能成为江苏科大首席科学家只有老实人，有的郭伟是真高中，有的“郭伟”是假高中，“郭伟”怎么能发现谁是郭伟，20251114,,,
background,2025-11-19,13:12,BV113ypBJE2a,https://www.bilibili.com/video/BV113ypBJE2a/,“没硕仍导”事件删了重新上传！！！百错仍硕不是终点，江苏科技大学首席科学家爆雷，学术圈超级大瓜，天塌了,,,学术
out,2025-11-16,11:18,BV1E3C9BoEJG,https://www.bilibili.com/video/BV1E3C9BoEJG/,这样做就完蛋，那样做就成功，妥妥的毒鸡汤,,,
out,2025-11-15,14:21,BV1W3C5BWETC,https://www.bilibili.com/video/BV1W3C5BWETC/,想读博怎么办，该做什么准备？20251110(2)，,,,
out,2025-11-14,19:36,BV1UGCuB7Ege,https://www.bilibili.com/video/BV1UGCuB7Ege/,导师没能力还压榨，告教育厅都没用，水导给你撑腰，20251110(1),,,
